file,variable,type,n_rows,n_missing
analysis_odis.csv,toss_decision,character,39362,0
analysis_odis.csv,winner,character,39362,0
analysis_odis.csv,event_name,character,39362,203
analysis_odis.csv,n_left,numeric,39362,0
analysis_odis.csv,n_right,numeric,39362,0
analysis_odis.csv,n_players,numeric,39362,0
analysis_odis.csv,prob_LR_squad,numeric,39362,0
analysis_odis.csv,match_innings_id,character,39362,0
analysis_odis.csv,avg_partnership_quality,numeric,39362,3772
analysis_odis.csv,max_pre_match_avg,numeric,39362,472
analysis_odis.csv,min_pre_match_avg,numeric,39362,472
analysis_odis.csv,combined_experience,numeric,39362,0
analysis_odis.csv,avg_pre_match_sr,numeric,39362,3083
analysis_odis.csv,year,numeric,39362,0
analysis_odis.csv,decade,numeric,39362,0
analysis_odis.csv,era,character,39362,0
analysis_odis.csv,max_bat_pos,numeric,39362,0
analysis_odis.csv,min_bat_pos,numeric,39362,0
analysis_odis.csv,position_group,character,39362,0
analysis_odis.csv,batter_1_team,character,39362,0
analysis_odis.csv,either_debutant,numeric,39362,0
analysis_odis.csv,short_partnership,numeric,39362,0
analysis_odis.csv,run_rate,numeric,39362,4
analysis_odis.csv,hand_known,numeric,39362,0
analysis_odis.csv,both_avg_known,numeric,39362,0
analysis_t20is.csv,match_id,numeric,45184,0
analysis_t20is.csv,innings,numeric,45184,0
analysis_t20is.csv,batting_team,character,45184,0
analysis_t20is.csv,partnership_number,numeric,45184,0
analysis_t20is.csv,batter_1,character,45184,0
analysis_t20is.csv,batter_2,character,45184,0
analysis_t20is.csv,batter_1_hand,character,45184,2068
analysis_t20is.csv,batter_2_hand,character,45184,2076
analysis_t20is.csv,hand_combination,character,45184,3619
analysis_t20is.csv,is_mixed_hand,numeric,45184,3619
analysis_t20is.csv,runs_scored,numeric,45184,0
analysis_t20is.csv,batter_runs,numeric,45184,0
analysis_t20is.csv,balls_faced,numeric,45184,0
analysis_t20is.csv,deliveries,numeric,45184,0
analysis_t20is.csv,batting_position_1,numeric,45184,0
analysis_t20is.csv,batting_position_2,numeric,45184,0
analysis_t20is.csv,runs_at_start,numeric,45184,0
analysis_t20is.csv,wickets_at_start,numeric,45184,0
analysis_t20is.csv,end_reason,character,45184,0
analysis_t20is.csv,is_censored,numeric,45184,0
analysis_t20is.csv,pre_match_matches_1,numeric,45184,422
analysis_t20is.csv,pre_match_innings_1,numeric,45184,422
analysis_t20is.csv,pre_match_runs_1,numeric,45184,422
analysis_t20is.csv,pre_match_balls_1,numeric,45184,422
analysis_t20is.csv,pre_match_dismissals_1,numeric,45184,422
analysis_t20is.csv,pre_match_avg_1,numeric,45184,4643
analysis_t20is.csv,pre_match_sr_1,numeric,45184,3646
analysis_t20is.csv,is_debutant_1,numeric,45184,422
analysis_t20is.csv,pre_match_matches_2,numeric,45184,372
analysis_t20is.csv,pre_match_innings_2,numeric,45184,372
analysis_t20is.csv,pre_match_runs_2,numeric,45184,372
analysis_t20is.csv,pre_match_balls_2,numeric,45184,372
analysis_t20is.csv,pre_match_dismissals_2,numeric,45184,372
analysis_t20is.csv,pre_match_avg_2,numeric,45184,4619
analysis_t20is.csv,pre_match_sr_2,numeric,45184,3680
analysis_t20is.csv,is_debutant_2,numeric,45184,372
analysis_t20is.csv,start_date,Date,45184,0
analysis_t20is.csv,venue,character,45184,0
analysis_t20is.csv,city,character,45184,1687
analysis_t20is.csv,team_1,character,45184,0
analysis_t20is.csv,team_2,character,45184,0
analysis_t20is.csv,toss_winner,character,45184,0
analysis_t20is.csv,toss_decision,character,45184,0
analysis_t20is.csv,winner,character,45184,0
analysis_t20is.csv,event_name,character,45184,862
analysis_t20is.csv,n_left,numeric,45184,185
analysis_t20is.csv,n_right,numeric,45184,185
analysis_t20is.csv,n_players,numeric,45184,185
analysis_t20is.csv,prob_LR_squad,numeric,45184,185
analysis_t20is.csv,match_innings_id,character,45184,0
analysis_t20is.csv,avg_partnership_quality,numeric,45184,7556
analysis_t20is.csv,max_pre_match_avg,numeric,45184,1706
analysis_t20is.csv,min_pre_match_avg,numeric,45184,1706
analysis_t20is.csv,combined_experience,numeric,45184,0
analysis_t20is.csv,avg_pre_match_sr,numeric,45184,5952
analysis_t20is.csv,year,numeric,45184,0
analysis_t20is.csv,decade,numeric,45184,0
analysis_t20is.csv,era,character,45184,0
analysis_t20is.csv,max_bat_pos,numeric,45184,0
analysis_t20is.csv,min_bat_pos,numeric,45184,0
analysis_t20is.csv,position_group,character,45184,0
analysis_t20is.csv,batter_1_team,character,45184,0
analysis_t20is.csv,either_debutant,numeric,45184,0
analysis_t20is.csv,short_partnership,numeric,45184,0
analysis_t20is.csv,run_rate,numeric,45184,13
analysis_t20is.csv,hand_known,numeric,45184,0
analysis_t20is.csv,both_avg_known,numeric,45184,0
analysis_county.csv,match_id,numeric,43911,0
analysis_county.csv,innings,numeric,43911,0
analysis_county.csv,batting_team,character,43911,0
analysis_county.csv,partnership_number,numeric,43911,0
analysis_county.csv,batter_1,character,43911,0
analysis_county.csv,batter_2,character,43911,0
analysis_county.csv,batter_1_hand,character,43911,167
analysis_county.csv,batter_2_hand,character,43911,96
analysis_county.csv,hand_combination,character,43911,256
analysis_county.csv,is_mixed_hand,numeric,43911,256
analysis_county.csv,runs_scored,numeric,43911,0
analysis_county.csv,batter_runs,numeric,43911,0
analysis_county.csv,balls_faced,numeric,43911,0
analysis_county.csv,deliveries,numeric,43911,0
analysis_county.csv,batting_position_1,numeric,43911,0
analysis_county.csv,batting_position_2,numeric,43911,0
analysis_county.csv,runs_at_start,numeric,43911,0
analysis_county.csv,wickets_at_start,numeric,43911,0
analysis_county.csv,end_reason,character,43911,0
analysis_county.csv,is_censored,numeric,43911,0
analysis_county.csv,pre_match_matches_1,numeric,43911,25
analysis_county.csv,pre_match_innings_1,numeric,43911,25
analysis_county.csv,pre_match_runs_1,numeric,43911,25
analysis_county.csv,pre_match_balls_1,numeric,43911,25
analysis_county.csv,pre_match_dismissals_1,numeric,43911,25
analysis_county.csv,pre_match_avg_1,numeric,43911,1585
analysis_county.csv,pre_match_sr_1,numeric,43911,1449
analysis_county.csv,is_debutant_1,numeric,43911,25
analysis_county.csv,pre_match_matches_2,numeric,43911,19
analysis_county.csv,pre_match_innings_2,numeric,43911,19
analysis_county.csv,pre_match_runs_2,numeric,43911,19
analysis_county.csv,pre_match_balls_2,numeric,43911,19
analysis_county.csv,pre_match_dismissals_2,numeric,43911,19
analysis_county.csv,pre_match_avg_2,numeric,43911,1474
analysis_county.csv,pre_match_sr_2,numeric,43911,1353
analysis_county.csv,is_debutant_2,numeric,43911,19
analysis_county.csv,start_date,Date,43911,0
analysis_county.csv,venue,character,43911,0
analysis_county.csv,city,character,43911,0
analysis_county.csv,team_1,character,43911,0
analysis_county.csv,team_2,character,43911,0
analysis_county.csv,toss_winner,character,43911,0
analysis_county.csv,toss_decision,character,43911,0
analysis_county.csv,winner,character,43911,0
analysis_county.csv,event_name,character,43911,0
analysis_county.csv,n_left,numeric,43911,0
analysis_county.csv,n_right,numeric,43911,0
analysis_county.csv,n_players,numeric,43911,0
analysis_county.csv,prob_LR_squad,numeric,43911,0
analysis_county.csv,match_innings_id,character,43911,0
analysis_county.csv,avg_partnership_quality,numeric,43911,2703
analysis_county.csv,max_pre_match_avg,numeric,43911,356
analysis_county.csv,min_pre_match_avg,numeric,43911,356
analysis_county.csv,combined_experience,numeric,43911,0
analysis_county.csv,avg_pre_match_sr,numeric,43911,2464
analysis_county.csv,year,numeric,43911,0
analysis_county.csv,decade,numeric,43911,0
analysis_county.csv,era,character,43911,0
analysis_county.csv,max_bat_pos,numeric,43911,0
analysis_county.csv,min_bat_pos,numeric,43911,0
analysis_county.csv,position_group,character,43911,0
analysis_county.csv,batter_1_team,character,43911,0
analysis_county.csv,either_debutant,numeric,43911,0
analysis_county.csv,short_partnership,numeric,43911,0
analysis_county.csv,run_rate,numeric,43911,0
analysis_county.csv,hand_known,numeric,43911,0
analysis_county.csv,both_avg_known,numeric,43911,0
analysis_sheffield.csv,match_id,numeric,6875,0
analysis_sheffield.csv,innings,numeric,6875,0
analysis_sheffield.csv,batting_team,character,6875,0
analysis_sheffield.csv,partnership_number,numeric,6875,0
analysis_sheffield.csv,batter_1,character,6875,0
analysis_sheffield.csv,batter_2,character,6875,0
analysis_sheffield.csv,batter_1_hand,character,6875,176
analysis_sheffield.csv,batter_2_hand,character,6875,68
analysis_sheffield.csv,hand_combination,character,6875,241
analysis_sheffield.csv,is_mixed_hand,numeric,6875,241
analysis_sheffield.csv,runs_scored,numeric,6875,0
analysis_sheffield.csv,batter_runs,numeric,6875,0
analysis_sheffield.csv,balls_faced,numeric,6875,0
analysis_sheffield.csv,deliveries,numeric,6875,0
analysis_sheffield.csv,batting_position_1,numeric,6875,0
analysis_sheffield.csv,batting_position_2,numeric,6875,0
analysis_sheffield.csv,runs_at_start,numeric,6875,0
analysis_sheffield.csv,wickets_at_start,numeric,6875,0
analysis_sheffield.csv,end_reason,character,6875,0
