nco,coef,se,N
team_max_seniority,0.133954406283681,0.907387229132632,732
team_max_hindex,-0.346525929034322,0.11261445012383,724
any_top_inst,-0.00849238152268413,0.00485583866615754,1262
paper_won_prize,-0.00173122592255077,0.000706900415477153,1262
author_won_dissertation_prize,-0.00232885691619453,0.00203618318797439,1262
