ID,Journal,Year,Vol,No,Paper_ID,Title,TitleCaps,Divergence,Depression,Comments,Google14,Google15,Google16,Google17,Google18,Google19,Google20,Google21,Google22,Google23,Google24,Google25,Google26,WebScience15,Pagestart,Pageend,Characters,Continent1,No of authors,Author1,Author1 university,Author1 country,Author2,Author2 university,Author2 country,Author3,Author3 university,Author3 country,Author4,Author4 university,Author4 country,Author5,Author5 university,Author5 country,Author 6,Author6 University,Author 6 Country,Author 7,Author7 University,Author 7 Country,Author 8,Author8 University,Author 8 Country,Author 9,Author 9 University,Author 9 Country,Author 10,Author 10 University,Author 10 Country,Author 11,Author 11 University,Author 11 Country,ID_original,duplicate_entry
14,EHR,1998,51,1,4,"Urbanization, Mortality, And The Standard Of Living Debate: New Estimates Of The Expectation Of Life At Birth In Nineteenth-Century British Cities","URBANIZATION, MORTALITY, AND THE STANDARD OF LIVING DEBATE: NEW ESTIMATES OF THE EXPECTATION OF LIFE AT BIRTH IN NINETEENTH-CENTURY BRITISH CITIES",0,0,0,153,182,208,233,262,286,304,319,354,383,399,423,418,84,84,112,146,Britain,2,Simon Szreter,University of Cambridge,UK,Graham Mooney,University of London,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,FALSE
15,EHR,1998,51,1,3,Cotton Textile Prices And The Industrial Revolution,COTTON TEXTILE PRICES AND THE INDUSTRIAL REVOLUTION,0,0,0,37,50,52,59,67,78,76,85,99,107,111,117,114,17,49,83,51,Britain,1,C Knick Harley,University of Western Ontario,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,FALSE
16,EHR,1998,51,1,2,The Penetration Of New Wealth Into The English Governing Class From The Middle Ages To The First World War,THE PENETRATION OF NEW WEALTH INTO THE ENGLISH GOVERNING CLASS FROM THE MIDDLE AGES TO THE FIRST WORLD WAR,0,0,0,16,20,23,26,30,31,27,29,33,33,37,36,36,5,25,48,106,Britain,1,EA Wasson,Tower Hill School,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,FALSE
17,EHR,1998,51,1,1,"English Bank Development Within A European Context, 1870–1939","ENGLISH BANK DEVELOPMENT WITHIN A EUROPEAN CONTEXT, 1870–1939",0,0,0,48,53,56,64,69,70,75,79,85,85,83,87,88,20,1,24,61,Britain,1,Michael Collins,University of Leeds,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,FALSE
18,EHR,1998,51,2,10,"Annual Review Of Information Technology Developments For Economic And Social Historians, 1997","ANNUAL REVIEW OF INFORMATION TECHNOLOGY DEVELOPMENTS FOR ECONOMIC AND SOCIAL HISTORIANS, 1997",0,0,0,2,2,2,2,2,3,2,2,2,3,1,1,1,1,382,397,93,Global,1,James E Everett,University of Glasgow,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,FALSE
19,EHR,1998,51,2,9,Smallpox Did Reduce Height: A Reply To Our Critics,SMALLPOX DID REDUCE HEIGHT: A REPLY TO OUR CRITICS,0,0,1,8,9,11,11,13,16,16,18,18,18,18,20,19,7,372,381,50,Britain,2,Timothy Leunig,University of London,UK,Hans-Joachim Voth,Stanford University,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,FALSE
20,EHR,1998,51,2,8,"Smallpox And Nutritional Status In England, 1770-1873: On The Difficulties Of Estimating Historical Heights","SMALLPOX AND NUTRITIONAL STATUS IN ENGLAND, 1770-1873: ON THE DIFFICULTIES OF ESTIMATING HISTORICAL HEIGHTS",0,0,1,18,20,25,28,31,34,33,37,38,40,43,42,41,10,360,371,107,Britain,2,Markus Heintel,University of Munich,Germany,Jeorg Baten,University of Munich,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,FALSE
21,EHR,1998,51,2,7,Did Smallpox Reduce Height?,DID SMALLPOX REDUCE HEIGHT?,0,0,0,16,18,20,20,22,26,26,26,26,30,33,33,32,9,351,359,27,Britain,1,Peter Razzell,The Open University,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,FALSE
22,EHR,1998,51,2,6,Work Efficiency And Endogenous Growth,WORK EFFICIENCY AND ENDOGENOUS GROWTH,0,0,0,0,0,0,1,2,2,2,4,3,3,3,3,3,0,344,350,37,Western Europe,1,H Freudenberger,Tulane University,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,FALSE
23,EHR,1998,51,2,5,"Short-Time Working And Price Maintenance: Collusive Tendencies In The Cotton-Spining Industry, 1919-1939","SHORT-TIME WORKING AND PRICE MAINTENANCE: COLLUSIVE TENDENCIES IN THE COTTON-SPINING INDUSTRY, 1919-1939",0,0,0,14,19,21,24,25,27,27,32,33,36,37,36,35,5,319,343,104,Britain,2,Sue Bowden,Sheffield University,UK,David M Higgins,Sheffield University,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,FALSE
